Time,Temperature,Control_Output
0,25,3.3
0.01,25.14,3.3
0.02,25.28,3.3
0.03,25.42,3.3
0.04,25.56,3.3
0.05,25.7,3.3
0.06,25.84,3.3
0.07,25.98,3.3
0.08,26.12,3.3
0.09,26.26,3.3
0.1,26.4,3.3
0.11,26.54,3.3
0.12,26.68,3.3
0.13,26.82,3.3
0.14,26.96,3.3
0.15,27.1,3.3
0.16,27.24,3.3
0.17,27.38,3.3
0.18,27.52,3.3
0.19,27.66,3.3
0.2,27.8,3.3
0.21,27.94,3.3
0.22,28.08,3.3
0.23,28.22,3.3
0.24,28.36,3.3
0.25,28.5,3.3
0.26,28.64,3.3
0.27,28.78,3.3
0.28,28.92,3.3
0.29,29.06,3.3
0.3,29.2,3.3
0.31,29.34,3.3
0.32,29.48,3.3
0.33,29.62,3.3
0.34,29.76,3.3
0.35,29.9,3.3
0.36,30.04,3.3
0.37,30.18,3.3
0.38,30.32,3.3
0.39,30.46,3.3
0.4,30.6,3.3
0.41,30.74,3.3
0.42,30.88,3.3
0.43,31.02,3.3
0.44,31.16,3.3
0.45,31.3,3.3
0.46,31.44,3.3
0.47,31.58,3.3
0.48,31.72,3.3
0.49,31.86,3.3
0.5,32,3.3
0.51,32.14,3.3
0.52,32.28,3.3
0.53,32.42,3.3
0.54,32.56,3.3
0.55,32.7,3.3
0.56,32.84,3.3
0.57,32.98,3.3
0.58,33.12,3.3
0.59,33.26,3.3
0.6,33.4,3.3
0.61,33.54,3.3
0.62,33.68,3.3
0.63,33.82,3.3
0.64,33.96,3.3
0.65,34.1,3.3
0.66,34.24,3.3
0.67,34.38,3.3
0.68,34.52,3.3
0.69,34.66,3.3
0.7,34.8,3.3
0.71,34.94,3.3
0.72,35.08,3.3
0.73,35.22,3.3
0.74,35.36,3.3
0.75,35.5,3.3
0.76,35.64,3.3
0.77,35.78,3.3
0.78,35.92,3.3
0.79,36.06,3.3
0.8,36.2,3.3
0.81,36.34,3.3
0.82,36.48,3.3
0.83,36.62,3.3
0.84,36.76,3.3
0.85,36.9,3.3
0.86,37.04,3.3
